country_code,statistic,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AFG,Mobile cellular subscriptions (per 100 people),0.0,0.0,0.11374016199999999,0.867120278,2.487667492,4.78644517,9.733604444,17.53816162,28.94006019,37.49420045,35.46776644,46.44405817,49.972753000000004,52.96647314,56.19133269,58.42052823,62.33541682,67.35057259999999
AFG,Individuals using the Internet (% of population),,0.004722568,0.004561395,0.087891253,0.10580903,1.224148084,2.107123645,1.9,1.84,3.55,4.0,5.0,5.454545455,5.9,7.0,8.26,10.59572642,
AFG,Fixed broadband subscriptions (per 100 people),,,,,0.000829222,0.000877515,0.00193099,0.0018785129999999998,0.001831902,0.0035708759999999997,0.005207761,,0.004886478,0.004727136,0.004579031,0.020947642,0.02539529,0.047312022999999995
ALB,Mobile cellular subscriptions (per 100 people),0.954237228,12.5752304,27.28413234,35.35834883,40.6614872,49.69649377,62.53038718,76.80249426,62.16072664,83.16046357,91.56092875,105.9228287,119.8614128,126.27649129999999,115.0261146,116.3375126,115.15226489999999,119.37634009999998
ALB,Individuals using the Internet (% of population),0.11409734699999999,0.325798377,0.39008127299999995,0.971900415,2.420387798,6.043890864,9.609991316,15.03611541,23.86,41.2,45.0,49.0,54.65595904,57.2,60.1,63.2529327,66.3634447,
ALB,Fixed broadband subscriptions (per 100 people),,,,,,0.008833523000000001,,0.330698001,2.139286969,3.1053437230000003,3.58912099,4.380763184,5.48239253,6.254106746000001,7.120165025,8.307928706,9.1027793,10.02062326
DZA,Mobile cellular subscriptions (per 100 people),0.275785459,0.31653429899999996,1.407230357,4.465339778,14.87130981,41.03934048,62.16474285,80.35760912,77.54135852,92.28569753,90.75943977,96.73099824,99.89846096,103.07388420000001,110.69932630000001,108.4173223,115.84805390000001,120.7057883
DZA,Individuals using the Internet (% of population),0.491705679,0.646114017,1.59164126,2.195359731,4.634475088,5.843942092000001,7.375984956,9.451190626,10.18,11.23,12.5,14.9,18.2,22.5,29.5,38.2,42.94552688,
DZA,Fixed broadband subscriptions (per 100 people),,,,0.055549531,0.109652142,0.405546226,0.503287429,0.8368465420000001,1.3912508680000002,2.306449939,2.4918573719999997,2.663671302,3.073930424,3.33867504,4.089891337,5.6916504429999994,7.042218731,7.664688795
ASM,Mobile cellular subscriptions (per 100 people),3.463083048,3.7060593039999996,3.466653045,3.5522776869999997,3.7965712739999997,,,,,,,,,,,,,
