country_code,statistic,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AFG,BCG immunization coverage among 1-year-olds (%),,,10,10,11,17,18,27,40,38,30,21,19,17,15,31,47,43,35,38,30,43,46,44,51,57,60,60,66,64,68,71,78,72,74,74,74,74
AFG,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,,,2,9,18,4,23,24,29,31,33,35,39,39,39,39
AFG,Neonates protected at birth against neonatal tetanus (PAB) (%),1,3,2,4,5,13,18,13,16,26,13,13,11,13,10,13,17,19,21,28,32,47,52,62,95,96,95,84,83,89,79,60,60,65,70,70,70,70
AFG,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,65,65,65
AFG,Polio (Pol3) immunization coverage among 1-year-olds (%),,3,5,5,16,15,11,25,35,33,25,23,21,18,8,20,31,28,28,27,24,35,36,41,50,58,58,63,64,63,66,68,67,62,58,60,60,60
ALB,BCG immunization coverage among 1-year-olds (%),93,93,92,90,90,92,92,92,92,94,94,80,81,82,87,97,94,94,87,93,93,93,94,95,97,98,97,98,99,97,99,97,96,99,99,99,99,99
ALB,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,90,93,93,96,97,94,95,98,98,98,99,99,99,98,98,98,98
ALB,Neonates protected at birth against neonatal tetanus (PAB) (%),,,,,,,,,,,30,72,87,89,91,90,91,92,74,80,86,83,80,81,85,86,87,87,87,87,87,87,87,87,92,92,92,95
ALB,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,99,99,99,99,98,99
ALB,Polio (Pol3) immunization coverage among 1-year-olds (%),92,92,92,92,92,94,94,94,96,96,89,82,97,98,98,98,99,99,97,97,97,97,98,97,98,97,97,99,99,98,99,99,99,99,98,99,98,99
DZA,BCG immunization coverage among 1-year-olds (%),,,,,,86,88,93,96,96,99,98,97,95,93,93,94,94,95,97,97,97,98,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99
