country_code,category,statistic,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AFG,Rural,Population using at least basic sanitation services (%),22.0,22.0,23.0,23.0,24.0,25.0,26.0,27.0,27.0,28.0,29.0,30.0,31.0,31.0,32.0,33.0
AFG,Urban,Population using at least basic sanitation services (%),31.0,31.0,33.0,35.0,37.0,38.0,40.0,42.0,44.0,46.0,47.0,49.0,51.0,53.0,55.0,56.0
AFG,Total,Population using at least basic sanitation services (%),24.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,34.0,35.0,36.0,37.0,38.0,39.0
AFG,Rural,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
AFG,Urban,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
AFG,Total,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
ALB,Rural,Population using at least basic sanitation services (%),82.0,83.0,84.0,85.0,86.0,88.0,89.0,90.0,91.0,92.0,93.0,94.0,95.0,96.0,97.0,97.0
ALB,Urban,Population using at least basic sanitation services (%),97.0,97.0,97.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
ALB,Total,Population using at least basic sanitation services (%),88.0,89.0,90.0,91.0,91.0,92.0,93.0,94.0,94.0,95.0,96.0,96.0,97.0,97.0,98.0,98.0
ALB,Rural,Population using safely managed sanitation services (%),48.0,49.0,50.0,51.0,53.0,54.0,55.0,56.0,57.0,58.0,60.0,61.0,62.0,63.0,64.0,64.0
ALB,Urban,Population using safely managed sanitation services (%),64.0,64.0,64.0,64.0,64.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0
ALB,Total,Population using safely managed sanitation services (%),55.0,55.0,56.0,57.0,58.0,59.0,60.0,60.0,61.0,62.0,62.0,63.0,64.0,64.0,65.0,65.0
DZA,Rural,Population using at least basic sanitation services (%),72.0,73.0,74.0,74.0,75.0,76.0,76.0,77.0,78.0,78.0,79.0,80.0,80.0,81.0,82.0,82.0
DZA,Urban,Population using at least basic sanitation services (%),91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
DZA,Total,Population using at least basic sanitation services (%),84.0,84.0,84.0,85.0,85.0,85.0,86.0,86.0,86.0,86.0,87.0,87.0,87.0,87.0,87.0,87.0
DZA,Rural,Population using safely managed sanitation services (%),24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
DZA,Urban,Population using safely managed sanitation services (%),19.0,19.0,19.0,19.0,19.0,19.0,18.0,18.0,18.0,18.0,18.0,18.0,17.0,17.0,17.0,17.0
DZA,Total,Population using safely managed sanitation services (%),21.0,21.0,21.0,21.0,21.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,19.0,19.0
AND,Rural,Population using at least basic sanitation services (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
AND,Urban,Population using at least basic sanitation services (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
AND,Total,Population using at least basic sanitation services (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
AND,Rural,Population using safely managed sanitation services (%),6.0,15.0,24.0,33.0,42.0,51.0,60.0,68.0,77.0,86.0,95.0,100.0,100.0,100.0,100.0,100.0
AND,Urban,Population using safely managed sanitation services (%),6.0,15.0,24.0,33.0,42.0,51.0,60.0,68.0,77.0,86.0,95.0,100.0,100.0,100.0,100.0,100.0
AND,Total,Population using safely managed sanitation services (%),6.0,15.0,24.0,33.0,42.0,51.0,60.0,68.0,77.0,86.0,95.0,100.0,100.0,100.0,100.0,100.0
AGO,Rural,Population using at least basic sanitation services (%),8.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,20.0,21.0
AGO,Urban,Population using at least basic sanitation services (%),48.0,49.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0
AGO,Total,Population using at least basic sanitation services (%),20.0,22.0,23.0,24.0,25.0,27.0,28.0,29.0,31.0,32.0,33.0,34.0,36.0,37.0,38.0,39.0
AGO,Rural,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
AGO,Urban,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
AGO,Total,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
ATG,Rural,Population using at least basic sanitation services (%),,,,,,,,,,,,,,,,
ATG,Urban,Population using at least basic sanitation services (%),,,,,,,,,,,,,,,,
ATG,Total,Population using at least basic sanitation services (%),82.0,83.0,83.0,84.0,84.0,84.0,85.0,85.0,86.0,86.0,86.0,87.0,87.0,88.0,88.0,88.0
ATG,Rural,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
ATG,Urban,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
ATG,Total,Population using safely managed sanitation services (%),,,,,,,,,,,,,,,,
